,card_number,expiry_date,card_provider,date_payment_confirmed
0,30060773296197.0,2026-09-01 00:00:00,Diners Club  Carte Blanche,2015-11-25 00:00:00
1,349624180933183.0,2023-10-01 00:00:00,American Express,2001-06-18 00:00:00
2,3529023891650490.0,2023-06-01 00:00:00,JCB 16 digit,2000-12-26 00:00:00
3,213142929492281.0,2027-09-01 00:00:00,JCB 15 digit,2011-02-12 00:00:00
4,502067329974.0,2025-10-01 00:00:00,Maestro,1997-03-13 00:00:00
5,3506661913512980.0,2023-11-01 00:00:00,JCB 16 digit,2003-08-25 00:00:00
6,377549437870679.0,2027-07-01 00:00:00,American Express,2006-12-11 00:00:00
7,2321541881278150.0,2029-02-01 00:00:00,Mastercard,1995-08-24 00:00:00
8,6011037917693140.0,2024-02-01 00:00:00,Discover,1998-10-23 00:00:00
9,502049986008.0,2023-07-01 00:00:00,Maestro,2011-04-30 00:00:00
10,6501622116456490.0,2028-10-01 00:00:00,Discover,2006-03-11 00:00:00
11,6502495513721380.0,2027-11-01 00:00:00,Discover,2021-10-11 00:00:00
12,3551071736826240.0,2031-11-01 00:00:00,JCB 16 digit,1993-07-16 00:00:00
13,371493449732930.0,2029-10-01 00:00:00,American Express,2014-11-08 00:00:00
14,3536516200696080.0,2029-01-01 00:00:00,JCB 16 digit,2009-11-29 00:00:00
15,5222519319551540.0,2026-01-01 00:00:00,Mastercard,2019-02-22 00:00:00
16,4.53750998745528e+18,2032-02-01 00:00:00,VISA 19 digit,2022-09-24 00:00:00
17,6011881097126120.0,2026-10-01 00:00:00,Discover,1996-12-03 00:00:00
18,4.20421003399858e+18,2028-08-01 00:00:00,VISA 19 digit,2019-09-21 00:00:00
19,3540126062083770.0,2032-09-01 00:00:00,JCB 16 digit,2021-04-27 00:00:00
20,180093132939478.0,2030-05-01 00:00:00,JCB 15 digit,2004-12-30 00:00:00
21,3579161126932720.0,2023-02-01 00:00:00,JCB 16 digit,2015-11-16 00:00:00
22,4045259395988290.0,2028-06-01 00:00:00,VISA 16 digit,2011-01-23 00:00:00
23,4.30562847733407e+18,2024-07-01 00:00:00,VISA 19 digit,2017-03-06 00:00:00
24,6011112632675670.0,2031-07-01 00:00:00,Discover,1999-02-08 00:00:00
25,370629659061970.0,2030-10-01 00:00:00,American Express,2008-09-27 00:00:00
26,3565388078802970.0,2032-03-01 00:00:00,JCB 16 digit,2016-10-28 00:00:00
27,4413511328768020.0,2030-12-01 00:00:00,VISA 16 digit,1995-08-15 00:00:00
28,3510326851192930.0,2031-10-01 00:00:00,JCB 16 digit,2001-06-30 00:00:00
29,30439078921644.0,2025-12-01 00:00:00,Diners Club  Carte Blanche,1998-05-20 00:00:00
30,2296814173210180.0,2024-06-01 00:00:00,Mastercard,2020-07-09 00:00:00
